! Sources with 90M>0.5 Jy from the QSO compactness surveys (mv013,014,015)
! Possible good sources to be used as fringe finders.
!
!                    (deg)          (deg)      (Jy)       (Jy)      (Jy)      (Jy)      (Jy)
!SOURCE            RA2000         DEC2000       40M       55M       70M       90M     Error   Grade  FRAC

F0440-4333     70.07158321    -43.55239008      1.16      1.49      1.19      0.98      0.12      A  0.84
F0537-286      84.97617284    -28.66554113      0.95      1.14      0.78      0.72      0.10      A  0.76
F0537-441      84.70983982    -44.08581639      2.46     -9.99      1.78      2.03      0.21      A  0.83
F0609-1542     92.42062308    -15.71129797      2.64      2.62     -9.99      2.75      0.26      A  1.04
F0826-373     127.01991762    -37.51841149      1.89      1.64      1.76      1.50      0.08      A  0.79
F0836-2016    129.16339688    -20.28319561      1.49      1.50      1.69      1.30      0.06      A  0.87
F0920-397     140.69340943    -39.99307451      2.39      1.20      1.02      1.26      0.21      A  0.53
F1127-1857    171.76830188    -18.95484494      2.08      1.94      1.84      1.78      0.09      A  0.86
F1144-379     176.75571128    -38.20306208      1.93      1.65      2.05      1.45      0.09      A  0.75
F1256-0547    194.04652737     -5.78931256     12.88     10.66     11.82     11.76      3.57      A  0.91
F1334-127     204.41576158    -12.95685927      5.73      4.59      6.47      4.98      0.51      A  0.87
F1424-418     216.98457318    -42.10539933      3.80      4.08      3.97      2.88      0.25      A  0.76
F1733-1304    263.26127412    -13.08043006      5.59      2.63      4.38      2.18      0.62      A  0.39
F1741-038     265.99523389     -3.83461576      5.84      5.79      6.72      5.74      0.53      A  0.98
F1911-2006    287.79022042    -20.11530808      5.94      5.06      5.95      5.85      0.17      A  0.98
F1921-293     291.21273314    -29.24170030      8.86      8.53     -9.99      8.23      1.53      A  0.93
J0745-2451    116.29276433    -24.86215717      1.32      1.43      0.48      0.92      0.17      A  0.69
J0756-1542    119.21124567    -15.70151008      0.62      0.61     -9.99      0.63      0.09      A  1.01
J0804-2749    121.21437996    -27.81981144      0.63      0.62      0.80      0.52      0.04      A  0.82
J0816-2421    124.16838492    -24.35182531      1.29      1.30      1.39      1.14      0.07      A  0.89
J0826-2230    126.50655387    -22.50755636      2.69      2.41      2.80      1.98      0.06      A  0.74
J0849-3541    132.44009783    -35.68368861      0.79      0.71      0.73      0.69      0.06      A  0.88
J0851-5228    132.98270342    -52.47021669      0.63      0.81     -9.99      0.50      0.06      A  0.80
J0852-5755    133.16135762    -57.92494692     -9.99      2.56     -9.99      2.35      0.06      A  0.92
J0904-5735    136.22157992    -57.58493953      1.34      1.57     -9.99      1.29      0.14      A  0.96
J0922-3959    140.69340942    -39.99307450      1.68      1.12     -9.99      1.00      0.19      A  0.59
J0940-6107    145.19732921    -61.12455008      2.35      2.40     -9.99      2.19      0.06      A  0.93
J1006-5018    151.55837213    -50.30374183      0.63      0.76     -9.99      0.64      0.04      A  1.01
J1014-4508    153.70981233    -45.14476511      0.97      0.88     -9.99      0.85      0.11      A  0.87
J1038-5311    159.66940487    -53.19535283     -9.99      1.81     -9.99      1.89      0.17      A  1.05
J1041-4740    160.43604117    -47.66668506      1.91      2.12     -9.99      2.04      0.11      A  1.07
J1047-6217    161.92896767    -62.28739831      1.41      1.55     -9.99      1.10      0.05      A  0.78
J1051-5344    162.78791667    -53.74626194      0.56      0.23     -9.99      0.50      0.07      A  0.89
J1107-6820    166.80289650    -68.34742422      0.61     -9.99     -9.99      0.70      0.25      A  1.15
J1123-6417    170.83089612    -64.29338883      0.59      0.58     -9.99      0.53      0.05      A  0.89
J1131-5818    172.93036663    -58.31484542      1.81      1.71     -9.99      1.75      0.13      A  0.97
J1136-6827    174.00874158    -68.45161733      1.04      0.91     -9.99      0.59      0.09      A  0.57
J1147-6753    176.88916496    -67.89493606      0.72      0.46     -9.99      0.65      0.09      A  0.91
J1151-6728    177.80594375    -67.46974831      0.36      1.12     -9.99      0.58      0.21      A  1.60
J1222-6035    185.52611304    -60.59230175      0.50      0.54     -9.99      0.52      0.06      A  1.03
J1252-6737    193.18005013    -67.62742972      1.34      1.20     -9.99      1.31      0.13      A  0.98
J1254-7138    193.74967275    -71.63845461      1.18      0.95      1.16      1.17      0.04      A  0.99
J1303-5540    195.95506633    -55.67544675      0.71      0.88     -9.99      0.55      0.11      A  0.77
J1326-5256    201.70512129    -52.93989808      1.14      1.34     -9.99      0.92      0.12      A  0.80
J1329-5608    202.25477046    -56.13407381      1.40      1.65     -9.99      1.00      0.13      A  0.72
J1337-6509    204.46852204    -65.15691636      0.57      0.61     -9.99      0.58      0.07      A  1.02
J1346-6024    206.70434208    -60.40815503      0.91      0.79     -9.99      0.77      0.12      A  0.85
J1508-4953    227.16226967    -49.88397528      1.10     -9.99      1.30      1.03      0.10      A  0.93
J1512-5640    228.23258075    -56.67517872      0.91     -9.99      1.28      0.54      0.06      A  0.60
J1514-4748    228.66676913    -47.80829378      2.25      2.34      2.40      2.28      0.08      A  1.02
J1515-5559    228.80280367    -55.99245517      1.74     -9.99      2.25      1.42      0.11      A  0.81
J1531-5108    232.93216883    -51.14992736      0.53      0.51     -9.99      0.57      0.09      A  1.09
J1534-5351    233.58608521    -53.85372886      0.79     -9.99      1.03      0.54      0.06      A  0.68
J1535-4730    233.96767175    -47.50638264      0.64     -9.99      0.82      0.66      0.08      A  1.03
J1604-4441    241.12925308    -44.69221483      1.34      1.19      1.56      0.92      0.07      A  0.69
J1610-3958    242.59116287    -39.98286931      1.04      0.52      0.84      0.66      0.09      A  0.63
J1617-5848    244.32454688    -58.80218336      2.13     -9.99      1.64      1.98      0.46      A  0.93
J1628-6152    247.22787413    -61.87677722      0.67     -9.99      0.87      0.62      0.06      A  0.93
J1648-3301    252.17646292    -33.03025886      0.65      0.54      0.68      0.64      0.10      A  0.98
J1650-2943    252.66476717    -29.72970967      3.10      2.56      3.35      2.80      0.25      A  0.90
J1650-5044    252.56927954    -50.74672528      1.31     -9.99      2.02      0.97      0.11      A  0.74
J1700-2610    255.22147525    -26.18103483      3.06      2.70      3.45      2.69      0.19      A  0.88
J1701-5621    255.43690879    -56.36552842      0.71     -9.99      1.24      0.91      0.50      A  1.29
J1713-2658    258.38031496    -26.98125744      1.18      1.33      1.15      1.20      0.05      A  1.02
J1733-3722    263.31330467    -37.37566581      1.79      1.22      1.76      1.05      0.14      A  0.59
J1802-3940    270.67783354    -39.66886339      1.37      1.22      1.76      1.61      0.08      A  1.18
