Maser            code  RA (hms)      DEC (dms)     |RA pk1|   pk2|DE pk1|   pk2| R/D| Done?
------------------------------------------------------------------------------------|
G232.620+0.996   s01   07h32m09.78s  -16d58m12.8s  |  4 13| 10 10| 12 30|  7  1| 1.5|  y
G287.371+0.644   s03   10h48m04.44s  -58d27m01.0s  |  6  1| 11 29|  2 20|  8 21| 1.0|  
G309.921+0.479   s04   13h50m41.78s  -61d35m10.2s  |  7 20|  1 19|  4  4| 10  2| 1.2|  
G323.740-0.263   s05   15h31m45.45s  -56d30m50.1s  |  8 15|  2 14|  4 29| 10 27| 1.5|  y
G327.402+0.445   s06   15h49m19.50s  -53d45m13.9s  |  8 19|  2 19|  5  3| 10 31| 1.7|  y
G328.254-0.532   s07   15h57m59.75s  -53d58m00.4s  |  8 21|  2 21|  5  6| 11  3| 1.7|  y
G328.808+0.633   s08   15h55m48.45s  -52d43m06.6s  |  8 21|  2 20|  5  4| 11  1| 1.7|  y
G339.622-0.121   s09   16h46m05.99s  -45d36m43.3s  |  9  1|  3  4|      |      | 2.4|  y
G339.884-1.259   s10   16h52m04.67s  -46d08m34.2s  |  9  3|  3  6|      |      | 2.4|  y
G345.505+0.348   s11   17h04m22.91s  -40d44m21.7s  |  9  6|  3  9|      |      | 3.1|  y

G291.274-0.709   s14   11h11m53.35s  -61d18m23.7s  |  6  7| 12  6|  2 27|  8 27| 1.0|
G299.772-0.005   s15   12h23m48.97s  -62d42m25.3s  |  6 27| 12 26|  3 15|  9 12| 1.0|
G318.948-0.196   s16   15h00m55.40s  -58d58m52.1s  |  8  7|  2  6|  4 22| 10 19| 1.4|
G326.475+0.703   s17   15h43m16.64s  -54d07m14.6s  |  8 17|  2 17|  5  1| 10 29| 1.6|
G328.237-0.547   s18   15h57m58.28s  -53d59m22.7s  |  8 21|  2 21|  5  6| 11  3| 1.7|

G329.029-0.205   s19   16h00m31.80s  -53d12m49.6s  |  8 22|  2 21|  5  6| 11  3| 1.7|
G332.295+2.280   s20   16h05m41.72s  -49d11m30.3s  |  8 23|  2 23|  5  6| 11  2| 1.9|
G337.920-0.456   s21   16h41m06.05s  -47d07m02.5s  |  8 31|  3  3|      |      | 2.3|
G345.010+1.792   s22   16h56m47.58s  -40d14m25.8s  |  9  4|  3  7|      |      | 3.1|
G348.550-0.979   s23   17h19m20.41s  -39d03m51.6s  |  9  9|  3 12|      |      | 3.5|
G352.630-1.067   s24   17h31m13.91s  -35d44m08.7s  |  9 12|  3 15|      |      | 4.5|


