Maser            code  RA (hms)      DEC (dms)     |RA pk1|   pk2|DE pk1|   pk2| R/D| Done?
------------------------------------------------------------------------------------|
G287.371+0.644   s03   10h48m04.44s  -58d27m01.0s  |  6  1| 11 29|  2 20|  8 21| 1.0|  
G309.921+0.479   s04   13h50m41.78s  -61d35m10.2s  |  7 20|  1 19|  4  4| 10  2| 1.2|  
G291.274-0.709   s14   11h11m53.35s  -61d18m23.7s  |  6  7| 12  6|  2 27|  8 27| 1.0|
G299.772-0.005   s15   12h23m48.97s  -62d42m25.3s  |  6 27| 12 26|  3 15|  9 12| 1.0|
G318.948-0.196   s16   15h00m55.40s  -58d58m52.1s  |  8  7|  2  6|  4 22| 10 19| 1.4|
G326.475+0.703   s17   15h43m16.64s  -54d07m14.6s  |  8 17|  2 17|  5  1| 10 29| 1.6|
G328.237-0.547   s18   15h57m58.28s  -53d59m22.7s  |  8 21|  2 21|  5  6| 11  3| 1.7|
G329.029-0.205   s19   16h00m31.80s  -53d12m49.6s  |  8 22|  2 21|  5  6| 11  3| 1.7|
G332.295+2.280   s20   16h05m41.72s  -49d11m30.3s  |  8 23|  2 23|  5  6| 11  2| 1.9|
G337.920-0.456   s21   16h41m06.05s  -47d07m02.5s  |  8 31|  3  3|      |      | 2.3|
G345.010+1.792   s22   16h56m47.58s  -40d14m25.8s  |  9  4|  3  7|      |      | 3.1|
G348.550-0.979   s23   17h19m20.41s  -39d03m51.6s  |  9  9|  3 12|      |      | 3.5|
G352.630-1.067   s24   17h31m13.91s  -35d44m08.7s  |  9 12|  3 15|      |      | 4.5|
