|IVS-r4     |20230621|r4    |172|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230622|      |173|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230626|r1    |177|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230629|      |180|18:15|24:00|HbKeYgHo? |    |    |
|-----------------------------------------------------------------
|IVS-r1     |20230703|r1    |184|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230704|      |185|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20230705|r4    |186|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230706|      |187|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230710|r1    |191|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230713|      |194|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230717|r1    |198|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230718|      |199|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20230719|r4    |200|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230720|      |201|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230724|r1    |205|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230725|      |206|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20230726|r4    |207|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230727|      |208|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230731|r1    |212|17:15|24:00|HbKeYgHo? |NASA|BONN|
|-----------------------------------------------------------------
|IVS-       |20230801|      |213|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20230802|r4    |214|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230803|      |215|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230807|r1    |219|13:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230810|      |222|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230814|r1    |226|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20230816|r4    |228|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230817|      |229|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230821|r1    |233|13:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230822|      |234|17:15|24:00|HbKeYgHo? |    |    |
|IVS-       |20230824|      |236|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230828|r1    |240|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20230830|r4    |242|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230831|      |243|18:15|24:00|HbKeYgHo? |    |    |
|-----------------------------------------------------------------
|IVS-r1     |20230904|r1    |247|13:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230905|      |248|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20230906|r4    |249|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230907|      |250|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230911|r1    |254|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20230913|r4    |256|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230914|      |257|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20230918|r1    |261|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230919|      |262|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20230920|r4    |263|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20230925|r1    |268|14:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20230926|      |269|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20230927|r4    |270|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20230928|      |271|18:15|24:00|HbKeYgHo? |    |    |
|-----------------------------------------------------------------
|IVS-r1     |20231002|r1    |275|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20231005|      |278|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231009|r1    |282|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20231011|r4    |284|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20231012|      |285|18:15|24:00|HbKeYgHo? |    |    |
|IVS-       |20231017|      |290|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20231018|r4    |291|17:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20231019|      |292|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231023|r1    |296|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20231025|r4    |298|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20231026|      |299|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231030|r1    |303|17:15|24:00|HbKeYgHo? |NASA|BONN|
|-----------------------------------------------------------------
|IVS-       |20231102|      |306|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231106|r1    |310|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20231107|      |311|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20231108|r4    |312|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20231109|      |313|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231113|r1    |317|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20231114|      |318|17:15|24:00|HbKeYgHo? |    |    |
|IVS-       |20231116|      |320|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231120|r1    |324|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20231121|      |325|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20231122|r4    |326|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20231123|      |327|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231127|r1    |331|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20231128|      |332|17:15|24:00|HbKeYgHo? |    |    |
|IVS-       |20231130|      |334|18:15|24:00|HbKeYgHo? |    |    |
|-----------------------------------------------------------------
