## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR       STATIONS                             SKED CORR  STATUS  DBC  SUBM DEL 
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                     yyyymmdd CODE      days 
--------------------------------------------------------------------------------------------------------------------------------
|IVS-INT-3   |20230102|q23002      |  2|07:00| 1:00|IsNsWz -Ny                               |DACH|GSI |        | XK |NASA|   0|
|IVS-INT-1   |20230102|i23002      |  2|18:30| 1:00|MkWz                                     |USNO|WASH|        | XU |NASA|   0|
|IVS-INT-1   |20230103|i23003      |  3|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230103|v23003      |  3|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-S  |20230103|s23003      |  3|19:45| 1:00|Oe -MgWs                                 |DACH|WETZ|        | VJ |NASA|   0|
|IVS-INT-00  |20230103|ii3003      |  3|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230104|i23004      |  4|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230104|v23004      |  4|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230104|ii3004      |  4|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230105|i23005      |  5|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230105|v23005      |  5|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230106|i23006      |  6|18:30| 1:00|KkNy                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230106|v23006      |  6|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230107|q23007      |  7|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230108|q23008      |  8|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230109|z23009      |  9|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230109|q23009      |  9|07:00| 1:00|IsNsWz -Ny                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230109|i23009      |  9|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230109|v23009      |  9|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-Y  |20230110|y23010      | 10|14:00| 1:00|GsSa -Yj                                 |DACH|YEBS|        | VH |NASA|   0|
|VGOS-INT-TST|20230110|y3010a      | 10|15:15| 0:06|GsSa -Yj                                 |NASA|YEBS|        | VT |NASA|   0|
|IVS-INT-1   |20230110|i23010      | 10|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230110|v23010      | 10|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-S  |20230110|s23010      | 10|19:45| 1:00|Oe -MgWs                                 |DACH|WETZ|        | VJ |NASA|   0|
|IVS-INT-1   |20230111|i23011      | 11|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230111|v23011      | 11|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230112|i23012      | 12|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230112|v23012      | 12|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230112|ii3012      | 12|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230113|i23013      | 13|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230113|v23013      | 13|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230114|q23014      | 14|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230115|q23015      | 15|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230116|z23016      | 16|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230116|q23016      | 16|07:00| 1:00|IsNsWz -Ny                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230116|i23016      | 16|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230116|v23016      | 16|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-Y  |20230117|y23017      | 17|14:00| 1:00|GsYj -Sa                                 |DACH|YEBS|        | VH |NASA|   0|
|VGOS-INT-TST|20230117|y3017a      | 17|15:15| 0:06|GsYj -Sa                                 |NASA|YEBS|        | VT |NASA|   0|
|IVS-INT-1   |20230117|i23017      | 17|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230117|v23017      | 17|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230119|i23019      | 19|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230119|v23019      | 19|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230119|ii3019      | 19|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230120|i23020      | 20|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230120|v23020      | 20|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230121|q23021      | 21|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230122|q23022      | 22|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230123|z23023      | 23|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230123|q23023      | 23|07:00| 1:00|IsNsWz -Ny                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230123|i23023      | 23|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
