## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR                         STATIONS                        SKED CORR  STATUS  DBC  SUBM DEL
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                                  yyyymmdd CODE      days
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-R1      |20230103|r11084      |  3|17:00|24:00|AgHbHtIsKeKkKvMaNsOnWzYg -Ny                          |NASA|BONN|20230124| XA |NASA|  20|
|IVS-R4      |20230104|r41084      |  4|18:30|24:00|HbHtIsKeKkMcNsWzYg -Ny                                |USNO|WASH|20230120| XE |USNO|  15|
|IVS-R1      |20230109|r11085      |  9|17:00|24:00|AgHbHtIsKeKvMcNsOnWzYg -Ny                            |NASA|BONN|20230130| XA |NASA|  20|
|IVS-T2P     |20230110|t2p158      | 10|17:30|24:00|AgEbHhHtIsKgKkKvMaMcNsNtOnVmWzYgYs -BdNyShSvZc        |DACH|BONN|Wt_med  | XH |BKG |  50|
|IVS-CRF     |20230111|crf134      | 11|18:00|24:00|HhMaNtYgYs -Km                                        |DACH|SHAO|Wt_med  | XN |USNO|  49|
|VGOS-OPS    |20230112|vo3012      | 12|18:00|24:00|GsHbK2MgOeOwWfYj -Ws                                  |NASA|BONN|Wt_med  | VG |NASA|  48|
|IVS-R4      |20230112|r41085      | 12|18:30|24:00|BdHtIsKeKkMcNsWzYg -Ny                                |USNO|WASH|20230126| XE |USNO|  13|
|IVS-R1      |20230116|r11086      | 16|17:00|24:00|HbHtIsKeKvMaNsWzYg -NySh                              |NASA|BONN|20230202| XA |NASA|  16|
|AOV         |20230117|aov079      | 17|17:30|24:00|HbIsKeKgSyUrWwYg                                      |GSI |GSI |Wt_med  | XA |NASA|  43|
|AUS-AST     |20230118|aua096      | 18|18:00|24:00|HbHoHtWwYg -Ke                                        |DACH|UTAS|20230209| XA |NASA|  21|
|IVS-R4      |20230119|r41086      | 19|18:30|24:00|BdHbHtIsKeKkNsWzYgZc -Ny                              |USNO|WASH|20230209| XE |USNO|  20|
|IVS-R1      |20230123|r11087      | 23|17:00|24:00|BdHbHtIsKeKkMcNsNtSvWzYgZc -Ny                        |NASA|BONN|20230209| XA |NASA|  16|
|IVS-CRF-DS  |20230124|crd123      | 24|17:30|24:00|AgHhHoOhWwYg                                          |DACH|WASH|Wt_med  | XN |USNO|  36|
|IVS-RD      |20230125|rd2301      | 25|18:00|24:00|HhKkMcNsOnWz -Ny                                      |OSO |WASH|Wt_med  | XA |NASA|  35|
|VGOS-RD     |20230125|vr2301      | 25|18:00|24:00|GsHbK2KeMgNnOeOwWfYj -Ws                              |DACH|HAYS|Wt_med  | VG |NASA|  35|
|IVS-R4      |20230126|r41087      | 26|18:30|24:00|HbHtIsKeKkMcNsWwWzYg -Ny                              |USNO|WASH|20230209| XE |USNO|  13|
|AUS-MIX     |20230127|aum065      | 27|19:00|24:00|HbHoKeWwYg                                            |UTAS|UTAS|Wt_med  | XA |NASA|  33|
|AUS-MIX     |20230128|aum066      | 28|19:30|24:00|HbHoKeWwYg                                            |UTAS|UTAS|Wt_med  | XA |NASA|  32|
|IVS-R1      |20230130|r11088      | 30|17:00|24:00|AgHbHtKeKvMaMcNsOnWzYg -IsNy                          |NASA|BONN|20230216| XA |NASA|  16|
--------------------------------------------------------------------------------------------------------------------------------------------
|AUS-AST     |20230201|aua097      | 32|18:00|24:00|HbHoHtWwYg -Ke                                        |DACH|UTAS|Wt_med  | XA |NASA|  28|
|IVS-R4      |20230202|r41088      | 33|18:30|24:00|HbHtIsKkMcNsWwWzYg -KeNy                              |USNO|WASH|20230215| XE |USNO|  12|
|IVS-R1      |20230206|r11089      | 37|17:00|24:00|AgHbHtIsKeKkMcNsOnWz -NyShYg                          |NASA|BONN|20230217| XA |NASA|  10|
|IVS-T2      |20230207|t2159       | 38|17:30|24:00|HtIsKgKvNsOhOnSmSyWzYgYs -263656Ny                    |DACH|BONN|Wt_med  | XH |BKG |  22|
|APSG        |20230208|apsg52      | 39|18:00|24:00|HoIsKgKkKvUrYg -KmSh                                  |SHAO|SHAO|Wt_med  | XA |NASA|  21|
|VGOS-OPS    |20230208|vo3039      | 39|18:00|24:00|GsHbK2MgOeOwWfYj -Ws                                  |NASA|WETZ|Wt_med  | VG |NASA|  21|
|IVS-R4      |20230209|r41089      | 40|18:30|24:00|HbHtIsKeKkMcNsSvWwWz -NyYg                            |USNO|WASH|20230223| XE |USNO|  13|
|IVS-R1      |20230213|r11090      | 44|17:00|24:00|BdHbHtIsKeKkKvNsSvWzYgZc -Ny                          |NASA|BONN|20230228| XA |NASA|  14|
|AOV         |20230214|aov080      | 45|17:30|24:00|HbIsKeKgUrYg -ShWw                                    |SHAO|SHAO|Wt_med  | XA |NASA|  15|
|IVS-OHIG    |20230215|ohg141      | 46|18:00|24:00|AgHoHtKkOhSyYg -Ww                                    |DACH|BONN|Wt_med  | XA |BKG |  14|
|IVS-R4      |20230216|r41090      | 47|18:30|24:00|BdHbHtIsKeKkNsSvWzYg -Ny                              |USNO|WASH|Cleanup | XE |USNO|  13|
|AUS-MIX     |20230217|aum067      | 48|19:00|24:00|HbHoKeYg -Ww                                          |UTAS|UTAS|Wt_med  | XA |NASA|  12|
|AUS-MIX     |20230218|aum068      | 49|19:30|24:00|HbHoKeYg -Ww                                          |UTAS|UTAS|Wt_med  | XA |NASA|  11|
|IVS-R1      |20230220|r11091      | 51|17:00|24:00|HbHtIsKeKvMcNsOnWzYg -NySh                            |NASA|BONN|In_prog | XA |NASA|   9|
|IVS-RDV     |20230221|rv157       | 52|17:30|24:00|HhHoNsOnVaWzYg -NySh                                  |USNO|VLBA|Wt_med  | XA |USNO|   8|
|VGOS-OPS    |20230223|vo3054      | 54|18:00|24:00|GsHbK2MgOeOwWfYj -Ws                                  |NASA|BONN|Wt_med  | VG |NASA|   6|
|IVS-R4      |20230223|r41091      | 54|18:30|24:00|HtIsKeKkMaNsWwWzYg -Ny                                |USNO|WASH|Ready   | XE |USNO|   6|
|IVS-R1      |20230227|r11092      | 58|17:00|24:00|AgHbIsKeKkKvMaWzYg -NsNy                              |NASA|BONN|Wt_med  | XA |NASA|   2|
|AUS-AST     |20230228|aua098      | 59|17:30|24:00|HbHoKeWwYg -Ht                                        |DACH|UTAS|Wt_med  | XA |NASA|   1|
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-R4      |20230302|r41092      | 61|18:30|24:00|HbIsKeKkMaWwWzYg -FtNsNy                              |USNO|WASH|Wt_med  | XE |USNO|  -1|
|IVS-R1      |20230306|r11093      | 65|17:00|24:00|AgHbHtIsKeKkKvMaNsWzYg -FtNy                          |NASA|BONN|        | XA |NASA|  -5|
|VGOS-OPS    |20230309|vo3068      | 68|18:00|24:00|GsHbK2MgOeOwWfYj -Ws                                  |NASA|WETZ|        | VG |NASA|  -8|
|IVS-R4      |20230309|r41093      | 68|18:30|24:00|HtIsKeKkMaNsWwWzYg -FtNy                              |USNO|WASH|        | XE |USNO|  -8|
|IVS-R1      |20230313|r11094      | 72|17:00|24:00|AgHbHtKeKkKvMaNsNyWzYg -Ft                            |NASA|BONN|        | XA |NASA| -12|
|IVS-R4      |20230315|r41094      | 74|18:30|24:00|FtHbHtKeKkMaNsNyWwWzYg                                |USNO|WASH|        | XE |USNO| -14|
|AUS-MIX     |20230316|aum069      | 75|19:00|24:00|HbHoKeWwYg                                            |UTAS|UTAS|        | XA |NASA| -15|
|AUS-MIX     |20230317|aum070      | 76|19:30|24:00|HbHoKeWwYg                                            |UTAS|UTAS|        | XA |NASA| -16|
|IVS-R1      |20230320|r11095      | 79|17:00|24:00|AgFtHbKeKkKvMaMcNsNyOnWzYg                            |NASA|BONN|        | XA |NASA| -19|
|IVS-RD      |20230322|rd2302      | 81|18:00|24:00|FtHhKkMcNsNyOnWz                                      |OSO |WASH|        | XA |NASA| -21|
|VGOS-OPS    |20230322|vo3081      | 81|18:00|24:00|GsHbK2KeMgNnOeOwWfWsYj                                |NASA|HAYS|        | VG |NASA| -21|
|IVS-R4      |20230323|r41095      | 82|18:30|24:00|BdFtHbHtKeKkMcNsNySvWwWzYgZc                          |USNO|WASH|        | XE |USNO| -22|
