|IVS-R4     |20230621|R4    |172|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230622|      |173|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230626|R1    |177|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230629|      |180|18:15|24:00|HbKeYgHo?     |    |    |
|---------------------------------------------------------------------
|IVS-R1     |20230703|R1    |184|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230704|      |185|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20230705|R4    |186|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230706|      |187|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230710|R1    |191|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230713|      |194|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230717|R1    |198|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230718|      |199|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20230719|R4    |200|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230720|      |201|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230724|R1    |205|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230725|      |206|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20230726|R4    |207|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230727|      |208|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230731|R1    |212|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|---------------------------------------------------------------------
|IVS-       |20230801|      |213|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20230802|R4    |214|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230803|      |215|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230807|R1    |219|13:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230810|      |222|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230814|R1    |226|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20230816|R4    |228|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230817|      |229|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230821|R1    |233|13:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230822|      |234|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-       |20230824|      |236|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230828|R1    |240|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20230830|R4    |242|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230831|      |243|18:15|24:00|HbKeYgHo?     |    |    |
|---------------------------------------------------------------------
|IVS-R1     |20230904|R1    |247|13:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230905|      |248|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20230906|R4    |249|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230907|      |250|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230911|R1    |254|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20230913|R4    |256|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230914|      |257|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20230918|R1    |261|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230919|      |262|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20230920|R4    |263|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20230925|R1    |268|14:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20230926|      |269|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20230927|R4    |270|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20230928|      |271|18:15|24:00|HbKeYgHo?     |    |    |
|---------------------------------------------------------------------
|IVS-R1     |20231002|R1    |275|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20231005|      |278|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20231009|R1    |282|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20231011|R4    |284|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20231012|      |285|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-       |20231017|      |290|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20231018|R4    |291|17:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20231019|      |292|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20231023|R1    |296|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20231025|R4    |298|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20231026|      |299|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20231030|R1    |303|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|---------------------------------------------------------------------
|IVS-       |20231102|      |306|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20231106|R1    |310|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20231107|      |311|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20231108|R4    |312|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20231109|      |313|18:15|24:00|HbKeYgHo?     |    |    |
|IVS-R1     |20231113|R1    |317|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20231114|      |318|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-       |20231116|      |320|18:15|24:00|HbKeYgHo?     |    |    |
|SPIRALS    |20231118|s003  |322|17:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20231120|R1    |324|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20231121|      |325|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20231122|R4    |326|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20231123|      |327|18:15|24:00|HbKeYgHo?     |    |    |
