|SPIRALS     |20231216|s013a    |350|15:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20231222|s025a    |356|15:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20231223|s026a    |357|16:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20231225|s013b    |359|14:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20231227|s025b    |361|14:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20231230|s013c    |364|14:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240101|s026b    |  1|15:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240102|s025c    |  2|14:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240103|s027a    |  3|16:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240106|s026c    |  6|15:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240110|s027b    | 10|15:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240117|s027c    | 17|15:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240126|s024a    | 26|18:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240127|s029a    | 27|17:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240131|s029b    | 31|17:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240203|s028a    | 34|16:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240206|s030a    | 37|17:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240210|s021a    | 41|16:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240213|s024b    | 44|16:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240217|s029c    | 48|16:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240224|s028b    | 55|15:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240228|s021b    | 59|15:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240302|s028c    | 62|14:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240316|s030b    | 76|14:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240323|s024c    | 83|14:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240329|s030c    | 89|14:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240401|s021c    | 92|13:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240522|s013d    |143|04:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
